,symbol,common_name,scientific_name,species,state_and_province,category,family,family_common_name,duration,growth_habit,native_status,invasive,active_growth_period,after_harvest_regrowth_rate,fall_conspicuous,fire_resistance,flower_color,flower_conspicuous,foliage_color,fruit_conspicuous,growth_form,growth_rate,height_at_base_age_maximum_feet,height_mature_feet,leaf_retention,lifespan,resprout_ability,shape_and_orientation,toxicity,adapted_to_coarse_textured_soils,adapted_to_medium_textured_soils,adapted_to_fine_textured_soils,anaerobic_tolerance,cacosub3sub_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_minimum,ph_maximum,planting_density_per_acre_minimum,planting_density_per_acre_maximum,precipitation_minimum,precipitation_maximum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruitseed_abundance,fruitseed_period_begin,fruitseed_period_end,fruitseed_persistence,propogated_by_bare_root,propogated_by_bulbs,propogated_by_container,propogated_by_corms,propogated_by_cuttings,propogated_by_seed,propogated_by_sod,propogated_by_sprigs,propogated_by_tubers,seeds_per_pound,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,berrynutseed_product,christmas_tree_product,fodder_product,fuelwood_product,lumber_product,naval_store_product,nursery_stock_product,palatable_browse_animal,palatable_graze_animal,palatable_human,post_product,protein_potential,pulpwood_product,veneer_product
6929,ARPUL,Fendler threeawn,Aristida purpurea var. longiseta,purpurea,"USA (AZ, CA, CO, IA, ID, KS, LA, MN, MT, NC, ND, NE, NM, NV, OK, OR, SC, SD, TX, UT, WA, WY), CAN (AB, BC, MB, SK)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (N), CAN (N)",,"Fall, Winter and Spring",Slow,No,No,Yellow,No,Green,No,Bunch,Rapid,,1.4,No,Moderate,No,Erect,None,Yes,Yes,No,None,Low,No,High,Low,Medium,165,None,Low,5.5,7.5,,,2,15,12,Low,Intolerant,-33,Early Spring,Contracting Only,High,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,500000,Moderate,Medium,No,None,No,No,Yes,,No,No,No,Medium,Medium,No,No,Low,No,No
7003,ARRI2,scabland sagebrush,Artemisia rigida,rigida,"USA (ID, MT, OR, WA)",Dicot,Asteraceae,Aster family,Perennial,"Subshrub, Shrub",L48 (N),,Spring and Summer,Moderate,No,No,White,No,White-Gray,No,Multiple Stem,Moderate,2,2,No,Short,Yes,Rounded,None,Yes,Yes,Yes,None,High,No,High,Low,,70,High,Low,6.5,8.5,3000,3000,10,60,12,Low,Intolerant,-43,Late Summer,No Known Source,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,1000000,Slow,Medium,No,None,No,No,No,,No,No,No,Medium,Medium,No,No,Low,No,No
7118,ARSP2,devil's walkingstick,Aralia spinosa,spinosa,"USA (AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV)",Dicot,Araliaceae,Ginseng family,Perennial,"Tree, Shrub",L48 (N),,Spring and Summer,,No,No,White,Yes,Green,No,Multiple Stem,Moderate,20,20,No,Moderate,Yes,Erect,Slight,Yes,Yes,Yes,Low,High,Yes,Low,High,High,160,None,High,4.8,6.6,700,1700,35,80,30,None,Intolerant,-25,Early Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,131000,Slow,Medium,No,None,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
7242,ARTI,Tilesius' wormwood,Artemisia tilesii,tilesii,"USA (AK, ID, MT, NV, OR, WA), CAN (AB, BC, MB, NT, NU, ON, QC, SK, YT)",Dicot,Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb","L48 (N), AK (N), CAN (N)",,,,No,No,Yellow,No,Green,No,Rhizomatous,Moderate,54,36,No,Short,Yes,Erect,Moderate,Yes,No,No,None,Low,Yes,Low,Medium,None,120,Medium,Medium,5,7.5,320,1280,10,32,12,None,Tolerant,-62,Summer,Routinely Available,Medium,,,No,No,No,Yes,No,Yes,Yes,No,No,No,5296666,Moderate,Medium,No,Moderate,No,No,No,,No,No,No,Low,Medium,Yes,No,Low,No,No
7273,ARTR,Jack in the pulpit,Arisaema triphyllum,triphyllum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV), CAN (MB, NB, NS, ON, PE, QC)",Monocot,Araceae,Arum family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring and Summer,,Yes,No,White,Yes,Green,Yes,Rhizomatous,Moderate,,1.5,No,Moderate,No,Erect,Slight,Yes,Yes,No,Medium,Medium,No,Low,High,Low,175,None,High,4.8,7,4800,11000,34,50,8,None,Tolerant,-18,Early Summer,Routinely Available,Low,Summer,Summer,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,110000,Slow,Low,No,Slow,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
7277,ARTR2,big sagebrush,Artemisia tridentata,tridentata,"USA (AZ, CA, CO, ID, MA, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",Dicot,Asteraceae,Aster family,Perennial,"Tree, Shrub","L48 (N), CAN (N)",WSWS,Spring and Summer,,No,No,Yellow,No,Green,Yes,Multiple Stem,Slow,3,4,Yes,Long,No,Semi-Erect,None,No,Yes,No,None,High,No,High,Low,High,90,Low,Medium,6,8.2,700,2700,6,16,20,Medium,Intolerant,-43,Mid Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,2466000,Slow,Low,No,Slow,No,No,No,,No,No,Yes,Low,Low,No,No,Medium,No,No
7279,ARTR4,threetip sagebrush,Artemisia tripartita,tripartita,"USA (CO, ID, MT, NV, NY, OR, UT, WA, WY), CAN (BC)",Dicot,Asteraceae,Aster family,Perennial,Shrub,"L48 (N), CAN (N)",,Spring and Summer,,No,No,Green,No,Gray-Green,No,Multiple Stem,Slow,1,4,No,Moderate,No,Rounded,None,Yes,Yes,Yes,None,High,No,High,Low,Low,90,High,Low,6,8.5,2700,2700,6,35,12,Low,Intolerant,-43,Late Summer,No Known Source,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,2195000,Moderate,High,No,None,No,No,No,,No,No,No,Medium,Low,No,No,Low,No,No
7304,ARTRT,basin big sagebrush,Artemisia tridentata ssp. tridentata,tridentata,"USA (AZ, CA, CO, ID, MA, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC)",Dicot,Asteraceae,Aster family,Perennial,"Tree, Shrub","L48 (N), CAN (N)",,Spring and Summer,,No,No,Green,Yes,Gray-Green,No,Multiple Stem,Slow,9,9,Yes,Moderate,No,Rounded,None,Yes,Yes,Yes,None,High,No,High,Low,Low,90,High,Low,6.5,8.5,2700,2700,6,35,16,Low,Intolerant,-13,Late Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,2358000,Moderate,Medium,No,None,No,No,No,,No,No,Yes,Medium,Low,No,No,Low,No,No
7308,ARTRV,mountain big sagebrush,Artemisia tridentata ssp. vaseyana,tridentata,"USA (CA, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",Dicot,Asteraceae,Aster family,Perennial,"Tree, Shrub","L48 (N), CAN (N)",,"Spring, Summer, Fall",,No,No,,No,Gray-Green,No,Multiple Stem,Slow,5,7,No,Long,No,Erect,None,Yes,Yes,Yes,None,High,No,Medium,Medium,None,90,Low,Low,6,8.5,300,1200,11,45,16,Low,Intolerant,-43,Fall,Routinely Available,Medium,Fall,,Yes,Yes,No,Yes,No,No,Yes,No,No,No,1973117,Moderate,Low,No,None,No,No,No,,No,No,No,Low,Low,No,No,Medium,No,No
7311,ARTRW8,Wyoming big sagebrush,Artemisia tridentata ssp. wyomingensis,tridentata,"USA (AZ, CA, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WY)",Dicot,Asteraceae,Aster family,Perennial,"Tree, Shrub",L48 (N),,Spring and Summer,,No,No,Yellow,No,Gray-Green,No,Multiple Stem,Slow,3,3,No,Long,No,Erect,None,Yes,Yes,Yes,None,High,No,High,Low,Low,90,Low,Medium,6,8.5,700,1200,8,20,20,Low,Intolerant,-33,Late Summer,Field Collections Only,Medium,Fall,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,1700963,Rapid,Low,No,None,No,No,No,,No,No,No,Medium,Low,No,No,Medium,No,No
7338,ARUV,kinnikinnick,Arctostaphylos uva-ursi,uva-ursi,"USA (AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Dicot,Ericaceae,Heath family,Perennial,"Subshrub, Shrub","L48 (N), AK (N), CAN (N), GL (N), SPM (N)",,Spring and Summer,,Yes,No,Purple,Yes,Dark Green,Yes,Multiple Stem,Moderate,,0.5,Yes,Long,No,Prostrate,None,Yes,Yes,No,None,Medium,Yes,High,Low,Low,140,None,Low,5.5,8,1746,10912,14,45,10,Medium,Intermediate,-33,Late Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,No,No,No,No,42400,Slow,Low,No,Moderate,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
7495,ASAL3,alpine aster,Aster alpinus,alpinus,"USA (AK, CO), CAN (AB, BC, NT, ON, YT)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,"L48 (N), AK (N), CAN (N)",,Spring and Summer,Slow,No,No,White,Yes,Green,No,Single Crown,Slow,,0.3,No,Long,No,Erect,None,No,Yes,Yes,None,Low,No,Medium,Low,Medium,90,None,Medium,6,7.5,3450,4800,18,36,15,Low,Intermediate,-28,Early Summer,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,8000000,Slow,Low,No,None,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
7717,ASCA11,Canadian milkvetch,Astragalus canadensis,canadensis,"USA (AL, AR, CA, CO, CT, DC, GA, IA, ID, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NT, ON, QC, SK)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,"L48 (N), CAN (N)",,"Spring, Summer, Fall",Moderate,No,No,White,Yes,Green,No,Stoloniferous,Moderate,,0.5,No,Short,No,Prostrate,Slight,No,Yes,No,Medium,Low,No,Medium,Medium,High,175,None,Medium,6,8,,,20,50,10,None,Intolerant,-38,Mid Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,270500,Slow,Medium,No,Slow,No,No,Yes,,No,No,No,Low,Low,No,No,Medium,No,No
7965,ASCU4,curvepod milkvetch,Astragalus curvicarpus,curvicarpus,"USA (CA, ID, NV, OR)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Spring and Summer,,No,No,Yellow,Yes,Gray-Green,Yes,Multiple Stem,Rapid,,0.4,No,Short,No,Decumbent,Severe,Yes,Yes,No,None,Medium,No,High,Low,High,120,None,Low,7,8,,,10,60,6,None,Intolerant,-23,Late Summer,No Known Source,High,Summer,Winter,No,No,No,No,No,No,Yes,No,No,No,140000,Rapid,High,No,None,No,No,No,,No,No,No,Low,Low,No,No,Medium,No,No
8177,ASFI,basalt milkvetch,Astragalus filipes,filipes,"USA (CA, ID, NV, OR, UT, WA), CAN (BC)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,White,Yes,Green,No,Single Crown,Moderate,,2,No,Moderate,No,Erect,Slight,Yes,Yes,No,None,Medium,No,High,Low,Medium,120,None,Low,5.8,7.3,,,8,30,10,Low,Intolerant,-23,Late Spring,No Known Source,Low,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,120000,Slow,Low,No,None,No,No,No,,No,No,No,Medium,Low,No,No,Medium,No,No
8401,ASIN,swamp milkweed,Asclepias incarnata,incarnata,"USA (AL, AR, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY), CAN (MB, NB, NS, ON, PE, QC)",Dicot,Asclepiadaceae,Milkweed family,Perennial,Forb/herb,"L48 (N), CAN (N)","NE&GP, WSWS",Spring,Slow,No,Yes,Red,Yes,Green,No,Rhizomatous,Moderate,,4.9,No,Moderate,No,Erect,Moderate,No,Yes,Yes,High,Medium,No,None,Medium,Low,107,None,High,5,8,3450,7200,15,65,18,None,Intolerant,-38,Fall,Routinely Available,Medium,Spring,Fall,Yes,No,No,No,No,No,Yes,No,Yes,No,153761,Slow,Low,No,Slow,No,No,No,,No,No,No,,Low,No,No,Low,No,No
8577,ASLE8,freckled milkvetch,Astragalus lentiginosus,lentiginosus,"USA (AZ, CA, CO, ID, MT, NM, NV, OR, TX, UT, WA, WY), CAN (BC)",Dicot,Fabaceae,Pea family,"Annual, Biennial, Perennial","Forb/herb, Shrub, Subshrub","L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,Yellow,Yes,Green,Yes,Single Crown,Moderate,,1.4,No,Moderate,No,Erect,Slight,Yes,Yes,Yes,None,Medium,No,High,Low,Medium,100,None,Low,5.7,7.4,,,10,16,10,Medium,Intolerant,-28,Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,140000,Slow,Low,No,None,No,No,No,,No,No,No,Low,,No,No,Medium,No,No
8797,ASMOM5,woolly locoweed,Astragalus mollissimus var. mollissimus,mollissimus,"USA (CO, KS, NE, NM, OK, SD, TX, WY)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,L48 (N),,Spring and Summer,Slow,No,No,Purple,Yes,Green,No,Single Crown,Moderate,,2,No,Moderate,No,Decumbent,Moderate,Yes,Yes,Yes,None,Medium,No,High,Low,Medium,100,None,Low,5.6,7.5,,,12,30,10,Low,Intolerant,-28,Late Spring,Contracting Only,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,140000,Moderate,Low,No,None,No,No,No,,No,No,No,Low,,No,No,Medium,No,No
9126,ASPU9,woollypod milkvetch,Astragalus purshii,purshii,"USA (CA, CO, ID, MT, ND, NV, OR, SD, UT, WA, WY), CAN (AB, BC, SK)",Dicot,Fabaceae,Pea family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,White,Yes,Gray-Green,No,Single Crown,Moderate,,0.6,No,Moderate,No,Decumbent,Slight,Yes,Yes,No,None,Medium,No,High,Low,Medium,80,None,Low,5.6,7.5,,,10,20,10,Low,Intolerant,-33,Mid Spring,No Known Source,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,120000,Moderate,Low,No,None,No,No,No,,No,No,No,Low,Low,No,No,Medium,No,No
9540,ASTR,pawpaw,Asimina triloba,triloba,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV), CAN (ON)",Dicot,Annonaceae,Custard-apple family,Perennial,"Tree, Shrub","L48 (N), CAN (N)",,Spring and Summer,,Yes,No,Purple,No,Dark Green,No,Single Stem,Slow,25,25,No,Short,Yes,Erect,None,Yes,Yes,No,Low,Medium,Yes,Low,High,Medium,160,Low,Medium,4.7,7.2,3400,4800,36,80,20,None,Tolerant,-27,Mid Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,697,Slow,Medium,No,None,Yes,No,No,Low,No,No,Yes,Low,Low,Yes,No,Low,No,No
9580,ASTU,butterfly milkweed,Asclepias tuberosa,tuberosa,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV), CAN (ON, QC)",Dicot,Asclepiadaceae,Milkweed family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,Orange,Yes,Green,Yes,Multiple Stem,Slow,,2,No,Moderate,No,Erect,None,Yes,Yes,No,None,Medium,No,High,Low,High,135,None,Low,4.8,6.8,3450,7200,28,45,16,None,Intolerant,-33,Mid Summer,Routinely Available,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,70000,Slow,Low,No,None,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
9779,ATCA2,fourwing saltbush,Atriplex canescens,canescens,"USA (AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB)",Dicot,Chenopodiaceae,Goosefoot family,Perennial,Shrub,"L48 (N), CAN (N)",,Spring and Summer,,No,No,Yellow,No,Green,Yes,Multiple Stem,Slow,4,4,No,Moderate,Yes,Semi-Erect,None,Yes,Yes,Yes,None,High,No,High,Low,Low,115,Medium,Medium,6.5,9.5,640,2700,5,18,20,High,Intolerant,-43,Late Spring,Routinely Available,Medium,Summer,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,44203,Slow,High,No,Slow,No,No,No,,No,No,No,High,Medium,No,No,Medium,No,No
9798,ATCO,shadscale saltbush,Atriplex confertifolia,confertifolia,"USA (AZ, CA, CO, ID, MT, ND, NM, NV, OR, TX, UT, WY)",Dicot,Chenopodiaceae,Goosefoot family,Perennial,"Subshrub, Shrub",L48 (N),,Spring and Summer,,No,Yes,Yellow,No,Green,No,Multiple Stem,Slow,3,3,No,Moderate,No,Semi-Erect,None,Yes,Yes,Yes,None,High,No,High,Medium,Low,165,Medium,Medium,7.5,9,1200,2800,4,12,10,High,Intolerant,-38,Early Summer,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,60585,Slow,Low,No,Slow,No,No,No,,No,No,No,High,High,No,No,Medium,No,No
9862,ATGA,Gardner's saltbush,Atriplex gardneri,gardneri,"USA (CO, ID, MT, ND, SD, UT, WY), CAN (AB, BC, MB, SK)",Dicot,Chenopodiaceae,Goosefoot family,Perennial,"Subshrub, Shrub","L48 (N), CAN (N)",,Spring and Summer,,No,No,Yellow,No,Gray-Green,No,Multiple Stem,Slow,4,4,No,Long,Yes,Semi-Erect,None,Yes,Yes,Yes,None,High,Yes,High,Low,High,110,None,Low,6.6,9,700,1200,5,12,20,High,Intolerant,-38,Late Summer,Routinely Available,Medium,Fall,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,111450,Slow,Medium,No,None,No,No,No,,No,No,No,High,Low,No,No,Medium,No,No
9918,ATLE,big saltbush,Atriplex lentiformis,lentiformis,"USA (AZ, CA, HI, NV, UT)",Dicot,Chenopodiaceae,Goosefoot family,Perennial,"Subshrub, Shrub","L48 (N), HI (I)",,Spring and Summer,,No,Yes,Yellow,No,Green,No,Multiple Stem,Moderate,10,10,No,Moderate,Yes,Semi-Erect,None,No,Yes,No,High,High,No,High,Medium,High,195,High,Low,7,10,680,1800,4,20,20,High,Intolerant,7,Early Summer,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,800000,Slow,Medium,No,Slow,No,No,No,,No,No,No,Medium,Low,No,No,Low,No,No
9957,ATNU,bluegreen saltbush,Atriplex nummularia,nummularia,USA (CA),Dicot,Chenopodiaceae,Goosefoot family,Perennial,Shrub,L48 (I),,Spring and Fall,,No,No,Yellow,No,Gray-Green,No,Single Stem,Slow,9,9,No,Long,Yes,Erect,None,Yes,Yes,No,None,High,No,High,Medium,High,150,High,Low,6,9,700,1700,7,17,20,High,Intolerant,-8,Winter,Routinely Available,Medium,Winter,Winter,No,Yes,No,Yes,No,No,Yes,No,No,No,140000,Slow,Low,No,None,No,No,No,,No,No,No,Medium,Low,No,No,Medium,No,No
10009,ATPO,cattle saltbush,Atriplex polycarpa,polycarpa,"USA (AZ, CA, NV, UT)",Dicot,Chenopodiaceae,Goosefoot family,Perennial,Shrub,L48 (N),,Summer and Fall,,No,No,Yellow,No,Green,No,Multiple Stem,Slow,6,6,No,Moderate,Yes,Semi-Erect,None,Yes,Yes,No,None,High,No,High,Medium,Low,170,Medium,Medium,7.5,9,1200,2800,3,12,10,High,Intolerant,7,Mid Summer,Field Collections Only,Medium,Winter,Winter,No,Yes,No,Yes,No,No,Yes,No,No,No,490000,Slow,Low,No,Slow,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
10200,AVGE,black mangrove,Avicennia germinans,germinans,"USA (FL, LA, MS, TX), USA+ (PR, VI)",Dicot,Verbenaceae,Verbena family,Perennial,"Tree, Shrub","L48 (N), PR (N), VI (N)",,Year Round,,Yes,No,White,Yes,Dark Green,Yes,Single Stem,Rapid,50,30,Yes,Long,Yes,Vase,Slight,No,Yes,Yes,Medium,Medium,No,Low,Low,Low,328,Low,High,6,8,320,640,34,81,24,Medium,Intolerant,10,Indeterminate,Routinely Available,High,Year Round,Year Round,No,Yes,No,Yes,No,No,Yes,No,No,No,,Rapid,High,No,None,No,No,No,Medium,No,No,Yes,Low,Low,No,Yes,Low,No,No
10220,AVSA,common oat,Avena sativa,sativa,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), USA+ (PR), CAN (AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Monocot,Poaceae,Grass family,Annual,Graminoid,"L48 (I), AK (I), HI (I), PR (I), CAN (W), GL (W), SPM (W)",SWSS,Spring and Summer,,No,No,Yellow,No,Green,No,Bunch,Rapid,,2,No,,No,Erect,None,Yes,Yes,Yes,Low,Low,No,Low,Medium,None,90,None,Medium,5.3,8.5,,,25,100,8,Medium,Intolerant,-23,Late Spring,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,19400,None,High,Yes,None,No,No,Yes,,No,No,No,Medium,High,Yes,No,Medium,No,No
10411,BACA3,Carey's balsamroot,Balsamorhiza careyana,careyana,"USA (OR, WA)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,L48 (N),,Spring,Slow,No,No,Yellow,Yes,Green,No,Single Crown,Moderate,,2.5,No,Moderate,No,Semi-Erect,None,Yes,Yes,No,None,Medium,Yes,High,Low,Medium,130,None,Low,6.6,9,,,6,20,18,Medium,Intermediate,-13,Early Spring,No Known Source,Medium,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,55000,Slow,Medium,No,None,No,No,No,,No,No,No,,Low,Yes,No,Low,No,No
10565,BAHO,Hooker's balsamroot,Balsamorhiza hookeri,hookeri,"USA (AZ, CA, CO, ID, MT, NV, OR, UT, WA, WY)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,L48 (N),,Spring,Slow,No,No,Yellow,Yes,Green,No,Single Crown,Moderate,,1,No,Moderate,No,Semi-Erect,None,Yes,Yes,Yes,None,Medium,Yes,Medium,Low,Medium,120,None,Medium,6.6,9,,,9,20,18,Medium,Intermediate,-18,Mid Spring,Contracting Only,Medium,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,55000,Slow,Medium,No,None,No,No,No,,No,No,No,,Low,Yes,No,Low,No,No
10567,BAHOH,hairy balsamroot,Balsamorhiza hookeri var. hirsuta,hookeri,"USA (CA, NV, OR, WA)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,L48 (N),,Spring,Slow,No,No,Yellow,Yes,Green,No,Single Crown,Moderate,,1.1,No,Moderate,No,Semi-Erect,None,Yes,Yes,Yes,None,Medium,Yes,Medium,Low,Medium,110,None,Medium,6.6,9,,,9,20,18,Medium,Intermediate,-18,Mid Spring,No Known Source,Medium,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,55000,Slow,Medium,No,None,No,No,No,,No,No,No,,Low,Yes,No,Low,No,No
10664,BAMA4,cutleaf balsamroot,Balsamorhiza macrophylla,macrophylla,"USA (ID, MT, UT, WY)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,L48 (N),,Spring,Slow,No,No,Yellow,Yes,Green,No,Single Crown,Moderate,,2,No,Moderate,No,Semi-Erect,None,Yes,Yes,Yes,Low,Medium,Yes,Low,Medium,Medium,100,None,High,6.3,8.6,,,14,40,18,Low,Intermediate,-23,Mid Spring,Contracting Only,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,55000,Slow,Medium,No,None,No,No,No,,No,No,No,,Medium,Yes,No,Low,No,No
10769,BAPI,coyotebrush,Baccharis pilularis,pilularis,"USA (CA, NM, OR)",Dicot,Asteraceae,Aster family,Perennial,"Subshrub, Shrub",L48 (N),,Spring and Summer,,No,No,White,Yes,Green,No,Multiple Stem,Moderate,10,10,Yes,Long,Yes,Prostrate,None,Yes,Yes,No,None,High,No,High,Low,Medium,210,High,Low,6,8.5,700,1200,12,30,20,High,Intolerant,22,Late Summer,Routinely Available,Medium,Fall,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,8200000,Slow,Low,No,Moderate,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
10854,BASA2,desertbroom,Baccharis sarothroides,sarothroides,"USA (AZ, CA, NM, NV, TX)",Dicot,Asteraceae,Aster family,Perennial,Shrub,L48 (N),,Spring and Summer,,No,No,Yellow,Yes,Green,No,Multiple Stem,Moderate,12,12,Yes,Short,No,Erect,Slight,Yes,Yes,Yes,Low,High,No,High,Low,None,240,Low,Low,7,8.5,300,300,2,10,12,Medium,Intolerant,28,Late Winter,Contracting Only,High,Spring,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,900000,Rapid,Medium,No,None,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
10855,BASA3,arrowleaf balsamroot,Balsamorhiza sagittata,sagittata,"USA (AZ, CA, CO, ID, MT, ND, NV, OR, SD, UT, WA, WY), CAN (AB, BC)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring,Slow,No,No,Yellow,Yes,Green,No,Multiple Stem,Moderate,,2,No,Long,No,Erect,None,No,Yes,Yes,None,High,Yes,High,Low,High,150,None,Medium,6.5,8,1200,4800,8,25,14,Low,Intermediate,-38,Late Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,58438,Slow,Low,No,None,No,No,No,,No,No,No,High,Medium,No,No,Medium,No,No
